"external_gene_name" "gene_biotype" "start_position" "end_position" "source"
"ENSRNOG00000005249" "Snx6" "protein_coding" 75626927 75670135 "ensembl"
"ENSRNOG00000016021" "Lims2" "protein_coding" 24708115 24746159 "ensembl"
"ENSRNOG00000016447" "RGD1310553" "protein_coding" 49903085 49913744 "ensembl"
"ENSRNOG00000061393" "AABR07034697.1" "snoRNA" 84548889 84549023 "ensembl"
"ENSRNOG00000024345" "Pard3b" "protein_coding" 68414339 69426226 "ensembl"
"ENSRNOG00000028206" "Pheta1" "protein_coding" 40226593 40227297 "ensembl"
"ENSRNOG00000054864" "AABR07007710.1" "snoRNA" 25134026 25134091 "ensembl"
"ENSRNOG00000020893" "Snx27" "protein_coding" 195738619 195821608 "ensembl"
"ENSRNOG00000055875" "AABR07016592.1" "snoRNA" 105906681 105906809 "ensembl"
"ENSRNOG00000060798" "Olr857" "pseudogene" 137738298 137739246 "ensembl"
"ENSRNOG00000002364" "Rnf112" "protein_coding" 47719014 47725172 "ensembl"
"ENSRNOG00000011283" "Sdhaf3" "protein_coding" 32495321 32558798 "ensembl"
"ENSRNOG00000055074" "U2" "snRNA" 80132166 80132356 "ensembl"
"ENSRNOG00000021671" "Rtl6" "protein_coding" 125465117 125465848 "ensembl"
"ENSRNOG00000057492" "AABR07024995.1" "snoRNA" 24437258 24437343 "ensembl"
"ENSRNOG00000056110" "Olr500" "protein_coding" 73735318 73736271 "ensembl"
"ENSRNOG00000042374" "Tgif2" "protein_coding" 152909189 152924377 "ensembl"
"ENSRNOG00000060836" "U1" "snRNA" 198597487 198597651 "ensembl"
"ENSRNOG00000023828" "LOC680875" "protein_coding" 117180812 117187367 "ensembl"
"ENSRNOG00000015144" "Ist1" "protein_coding" 41968705 41990843 "ensembl"
"ENSRNOG00000018228" "Cog2" "protein_coding" 57286985 57319329 "ensembl"
"ENSRNOG00000054242" "AABR07015838.1" "miRNA" 79667103 79667233 "ensembl"
"ENSRNOG00000020056" "Retreg3" "protein_coding" 89006595 89030595 "ensembl"
"ENSRNOG00000012314" "Slirp" "protein_coding" 111476768 111486039 "ensembl"
"ENSRNOG00000050010" "AABR07021691.1" "miRNA" 85672592 85672676 "ensembl"
"ENSRNOG00000055508" "AABR07000159.3" "pseudogene" 1885876 1886209 "ensembl"
"ENSRNOG00000032878" "Cxxc5" "protein_coding" 28653592 28656937 "ensembl"
"ENSRNOG00000041998" "5S_rRNA" "rRNA" 3399485 3399595 "ensembl"
"ENSRNOG00000054032" "SNORD115" "snoRNA" 116985867 116985943 "ensembl"
"ENSRNOG00000002349" "Gabra2" "protein_coding" 39661968 39798302 "ensembl"
"ENSRNOG00000048190" "Rgmb" "protein_coding" 57796709 57815038 "ensembl"
"ENSRNOG00000015410" "Aspnl1" "protein_coding" 14656009 14679409 "ensembl"
"ENSRNOG00000056816" "U6" "snRNA" 52529241 52529351 "ensembl"
"ENSRNOG00000055526" "AC126292.2" "protein_coding" 135687538 135687897 "ensembl"
"ENSRNOG00000049651" "AABR07041532.1" "miRNA" 132506826 132506983 "ensembl"
"ENSRNOG00000053136" "AABR07026557.1" "protein_coding" 83161880 83187148 "ensembl"
"ENSRNOG00000059641" "AC139445.2" "processed_pseudogene" 105651155 105652822 "ensembl"
"ENSRNOG00000043645" "AABR07054401.1" "miRNA" 152455490 152455587 "ensembl"
"ENSRNOG00000032579" "Zswim2" "protein_coding" 71274337 71295629 "ensembl"
"ENSRNOG00000034241" "Set" "protein_coding" 58419961 58421504 "ensembl"
"ENSRNOG00000058281" "U6" "snRNA" 2428297 2428401 "ensembl"
"ENSRNOG00000020573" "Efna1" "protein_coding" 188588796 188596222 "ensembl"
"ENSRNOG00000033009" "Olr12" "protein_coding" 149578357 149579280 "ensembl"
"ENSRNOG00000017548" "Fam53a" "protein_coding" 82375181 82416004 "ensembl"
"ENSRNOG00000029734" "LOC360933" "protein_coding" 41388563 41433915 "ensembl"
"ENSRNOG00000054535" "U1" "snRNA" 22905576 22905738 "ensembl"
"ENSRNOG00000049274" "LOC102551504" "protein_coding" 67917477 67918469 "ensembl"
"ENSRNOG00000013578" "Trem2" "protein_coding" 14611561 14618013 "ensembl"
"ENSRNOG00000044314" "Mir3084c" "miRNA" 86767029 86767097 "ensembl"
"ENSRNOG00000019143" "Galnt2" "protein_coding" 57047830 57115132 "ensembl"
"ENSRNOG00000048582" "Olr145" "protein_coding" 169269385 169270329 "ensembl"
"ENSRNOG00000024454" "Ccdc149" "protein_coding" 60857989 60952088 "ensembl"
"ENSRNOG00000059489" "AC111319.3" "pseudogene" 71296104 71296416 "ensembl"
"ENSRNOG00000007331" "Rragd" "protein_coding" 48224994 48260685 "ensembl"
"ENSRNOG00000049483" "Olr241" "protein_coding" 172129514 172130446 "ensembl"
"ENSRNOG00000010316" "Magohb" "protein_coding" 165514530 165522418 "ensembl"
"ENSRNOG00000060284" "AABR07000436.1" "lincRNA" 12483436 12485729 "ensembl"
"ENSRNOG00000020541" "Nprl3" "protein_coding" 15620871 15661331 "ensembl"
"ENSRNOG00000008239" "Repin1" "protein_coding" 78233332 78236781 "ensembl"
"ENSRNOG00000052532" "AABR07045334.1" "lincRNA" 43528319 43528714 "ensembl"
"ENSRNOG00000057187" "AABR07061068.1" "protein_coding" 103495993 103496298 "ensembl"
"ENSRNOG00000055024" "AABR07016674.1" "lincRNA" 110102635 110234277 "ensembl"
"ENSRNOG00000045748" "Olr1532" "protein_coding" 43194348 43195265 "ensembl"
"ENSRNOG00000042468" "LOC680920" "protein_coding" 14851132 14864680 "ensembl"
"ENSRNOG00000011245" "Arhgap18" "protein_coding" 19227121 19376301 "ensembl"
"ENSRNOG00000052716" "AABR07063507.1" "lincRNA" 32307150 32308324 "ensembl"
"ENSRNOG00000001931" "Fgf12" "protein_coding" 75905443 76168989 "ensembl"
"ENSRNOG00000038002" "Ccdc62" "protein_coding" 38057556 38093050 "ensembl"
"ENSRNOG00000057003" "LOC102552638" "lincRNA" 198405394 198408505 "ensembl"
"ENSRNOG00000005733" "Cpsf2" "protein_coding" 125870372 125898874 "ensembl"
"ENSRNOG00000026965" "Tmem140" "protein_coding" 62380914 62391912 "ensembl"
"ENSRNOG00000021513" "Rtn4rl2" "protein_coding" 72273424 72289310 "ensembl"
"ENSRNOG00000060324" "AABR07065274.1" "lincRNA" 118507947 118519172 "ensembl"
"ENSRNOG00000033330" "Skida1" "protein_coding" 84827426 84830185 "ensembl"
"ENSRNOG00000018706" "Il15ra" "protein_coding" 70451411 70481750 "ensembl"
"ENSRNOG00000058908" "Hmgb1" "protein_coding" 37500017 37502237 "ensembl"
"ENSRNOG00000055866" "AABR07008948.1" "lincRNA" 80853567 80861370 "ensembl"
"ENSRNOG00000018790" "Kcnh4" "protein_coding" 88647575 88667345 "ensembl"
"ENSRNOG00000017328" "Pter" "protein_coding" 80250521 80311981 "ensembl"
"ENSRNOG00000055580" "AABR07010620.1" "lincRNA" 144173295 144178776 "ensembl"
"ENSRNOG00000000604" "Hdac2" "protein_coding" 43084870 43108198 "ensembl"
"ENSRNOG00000042228" "AABR07061950.1" "protein_coding" 154780302 154855098 "ensembl"
"ENSRNOG00000018956" "Olr287" "protein_coding" 212651917 212652852 "ensembl"
"ENSRNOG00000057275" "AABR07059024.1" "lincRNA" 1983322 2053628 "ensembl"
"ENSRNOG00000018927" "Sprn" "protein_coding" 212622094 212622537 "ensembl"
"ENSRNOG00000015724" "Gucy2g" "protein_coding" 276187242 276228574 "ensembl"
"ENSRNOG00000020903" "Lto1" "protein_coding" 218076116 218080824 "ensembl"
"ENSRNOG00000056758" "AABR07027321.1" "lincRNA" 24506518 24508273 "ensembl"
"ENSRNOG00000053881" "Baz2a" "protein_coding" 2529077 2547062 "ensembl"
"ENSRNOG00000061831" "AABR07068705.1" "lincRNA" 115569353 115571416 "ensembl"
"ENSRNOG00000005338" "Drd5" "protein_coding" 77220579 77222006 "ensembl"
"ENSRNOG00000051962" "AABR07013157.1" "lincRNA" 225170643 225171830 "ensembl"
"ENSRNOG00000017172" "Mvb12b" "protein_coding" 12780100 12944494 "ensembl"
"ENSRNOG00000056389" "AABR07044001.3" "lincRNA" 52065345 52067331 "ensembl"
"ENSRNOG00000056069" "Kif11" "protein_coding" 256035866 256088299 "ensembl"
"ENSRNOG00000021433" "Arhgef39" "protein_coding" 58995249 59001800 "ensembl"
"ENSRNOG00000050121" "Rhag" "protein_coding" 23465197 23493081 "ensembl"
"ENSRNOG00000027088" "Ube2k" "protein_coding" 44289247 44348691 "ensembl"
"ENSRNOG00000031027" "Olr856" "protein_coding" 137514752 137515690 "ensembl"
"ENSRNOG00000016219" "Vnn1" "protein_coding" 22614783 22625204 "ensembl"
"ENSRNOG00000012055" "Man2a2" "protein_coding" 142143799 142164263 "ensembl"
"ENSRNOG00000049221" "Kdm4b" "protein_coding" 10653216 10734073 "ensembl"
"ENSRNOG00000020863" "Oaz3" "protein_coding" 195676048 195678848 "ensembl"
"ENSRNOG00000013763" "Erlin2" "protein_coding" 69179588 69195097 "ensembl"
"ENSRNOG00000003691" "Tmed7" "protein_coding" 40579182 40586260 "ensembl"
"ENSRNOG00000031479" "Hdlbp" "protein_coding" 100554563 100624638 "ensembl"
"ENSRNOG00000048542" "LOC100910060" "protein_coding" 35263718 35264841 "ensembl"
"ENSRNOG00000013336" "Wdr70" "protein_coding" 56944460 57196568 "ensembl"
"ENSRNOG00000004647" "Il10" "protein_coding" 47739526 47743392 "ensembl"
"ENSRNOG00000041864" "5S_rRNA" "rRNA" 11640201 11640300 "ensembl"
"ENSRNOG00000032133" "Rnase2" "protein_coding" 28154482 28155291 "ensembl"
"ENSRNOG00000014674" "Exosc9" "protein_coding" 123264694 123294880 "ensembl"
"ENSRNOG00000060516" "AABR07065753.1" "protein_coding" 140266079 140266507 "ensembl"
"ENSRNOG00000010029" "Ubald2" "protein_coding" 105393072 105396863 "ensembl"
"ENSRNOG00000053681" "AABR07031296.1" "miRNA" 7597904 7598022 "ensembl"
"ENSRNOG00000057727" "AABR07015500.1" "pseudogene" 59811526 59811665 "ensembl"
"ENSRNOG00000059778" "AABR07017768.7" "protein_coding" 30841153 30841666 "ensembl"
"ENSRNOG00000012826" "Creb3l2" "protein_coding" 64869026 64981384 "ensembl"
"ENSRNOG00000061412" "SNORD115" "snoRNA" 116705501 116705577 "ensembl"
"ENSRNOG00000020390" "Tmem161a" "protein_coding" 20986687 20994379 "ensembl"
"ENSRNOG00000011881" "Slc25a15" "protein_coding" 74531564 74554529 "ensembl"
"ENSRNOG00000061094" "LOC100360296" "protein_coding" 73288728 73360204 "ensembl"
"ENSRNOG00000001494" "Napa" "protein_coding" 77994203 78012845 "ensembl"
"ENSRNOG00000053521" "SNORD116" "snoRNA" 194892124 194892216 "ensembl"
"ENSRNOG00000020165" "Ahsp" "protein_coding" 199720038 199721010 "ensembl"
"ENSRNOG00000046558" "LOC103691965" "protein_coding" 159095876 159096671 "ensembl"
"ENSRNOG00000011052" "Gars" "protein_coding" 85235172 85276044 "ensembl"
"ENSRNOG00000016578" "Mtpap" "protein_coding" 56046509 56068125 "ensembl"
"ENSRNOG00000045298" "5S_rRNA" "rRNA" 131269813 131269924 "ensembl"
"ENSRNOG00000051455" "AABR07054333.1" "snoRNA" 148344941 148345090 "ensembl"
"ENSRNOG00000015903" "Add2" "protein_coding" 117743710 117882464 "ensembl"
"ENSRNOG00000007243" "Havcr1" "protein_coding" 31813814 31848379 "ensembl"
"ENSRNOG00000048242" "Txlna" "protein_coding" 147832469 147846095 "ensembl"
"ENSRNOG00000050157" "AABR07000968.1" "miRNA" 30085337 30085434 "ensembl"
"ENSRNOG00000011429" "AABR07009373.1" "protein_coding" 94902666 94903226 "ensembl"
"ENSRNOG00000029073" "Txndc8" "protein_coding" 75088050 75116490 "ensembl"
"ENSRNOG00000013358" "Aqp11" "protein_coding" 162703442 162713610 "ensembl"
"ENSRNOG00000013076" "Csnk1e" "protein_coding" 120651881 120672359 "ensembl"
"ENSRNOG00000054432" "5_8S_rRNA" "rRNA" 48816 48968 "ensembl"
"ENSRNOG00000009030" "Rab19" "protein_coding" 67165883 67176363 "ensembl"
"ENSRNOG00000005135" "Bclaf3" "protein_coding" 38295365 38353461 "ensembl"
"ENSRNOG00000029280" "Gpaa1" "protein_coding" 117394372 117397956 "ensembl"
"ENSRNOG00000061065" "7SK" "misc_RNA" 7685714 7686018 "ensembl"
"ENSRNOG00000002177" "Gnpda2" "protein_coding" 62628111 62646110 "ensembl"
"ENSRNOG00000011922" "Stt3b" "protein_coding" 123293057 123371257 "ensembl"
"ENSRNOG00000061554" "Snord85" "snoRNA" 148876788 148876861 "ensembl"
"ENSRNOG00000022356" "Zc2hc1a" "protein_coding" 96482944 96520137 "ensembl"
"ENSRNOG00000048587" "Mir350-2" "miRNA" 94849816 94849914 "ensembl"
"ENSRNOG00000059911" "AABR07026294.1" "protein_coding" 70905993 70909439 "ensembl"
"ENSRNOG00000030616" "Slc25a45" "protein_coding" 221236773 221244563 "ensembl"
"ENSRNOG00000043159" "Vom2r42" "protein_coding" 148927533 149175275 "ensembl"
"ENSRNOG00000055597" "Hdac7" "protein_coding" 139281187 139318455 "ensembl"
"ENSRNOG00000056117" "AABR07015430.1" "snoRNA" 56222699 56222818 "ensembl"
"ENSRNOG00000014761" "Rasd2" "protein_coding" 14653198 14663914 "ensembl"
"ENSRNOG00000013766" "Acaa2" "protein_coding" 70733872 70762395 "ensembl"
"ENSRNOG00000049995" "Slc40a1" "protein_coding" 52820683 52830457 "ensembl"
"ENSRNOG00000058573" "7SK" "misc_RNA" 2706968 2707255 "ensembl"
"ENSRNOG00000042899" "Fcgbpl1" "protein_coding" 85058548 85096346 "ensembl"
"ENSRNOG00000020155" "Mapk8" "protein_coding" 9625177 9709347 "ensembl"
"ENSRNOG00000040436" "AABR07026302.1" "miRNA" 71152385 71152451 "ensembl"
"ENSRNOG00000017703" "Unc93b1" "protein_coding" 219144205 219183963 "ensembl"
"ENSRNOG00000003806" "Gpr65" "protein_coding" 122254841 122256251 "ensembl"
"ENSRNOG00000013314" "Avl9" "protein_coding" 87026530 87066356 "ensembl"
"ENSRNOG00000058636" "AABR07010589.1" "miRNA" 141863838 141863912 "ensembl"
"ENSRNOG00000017420" "Nudt6" "protein_coding" 124134307 124149636 "ensembl"
"ENSRNOG00000001011" "Rflna" "protein_coding" 37038733 37047628 "ensembl"
"ENSRNOG00000054705" "AABR07062833.3" "snoRNA" 11086843 11086976 "ensembl"
"ENSRNOG00000060112" "Vom1r97" "protein_coding" 121899292 121900224 "ensembl"
"ENSRNOG00000058723" "AABR07013945.1" "snoRNA" 264523448 264523579 "ensembl"
"ENSRNOG00000029949" "RGD1565462" "protein_coding" 129052503 129059050 "ensembl"
"ENSRNOG00000050887" "Vom1r40" "protein_coding" 67660337 67661329 "ensembl"
"ENSRNOG00000042954" "RSA-14-44" "protein_coding" 96831880 96833251 "ensembl"
"ENSRNOG00000014876" "Lpin2" "protein_coding" 119517101 119591533 "ensembl"
"ENSRNOG00000060835" "U3" "snoRNA" 66966122 66966314 "ensembl"
"ENSRNOG00000008125" "Igbp1b" "protein_coding" 172709724 172711074 "ensembl"
"ENSRNOG00000009611" "Bricd5" "protein_coding" 13839956 13841018 "ensembl"
"ENSRNOG00000012017" "Otulin" "protein_coding" 80269587 80293181 "ensembl"
"ENSRNOG00000060073" "U1" "snRNA" 92640084 92640231 "ensembl"
"ENSRNOG00000008972" "Mtnr1b" "protein_coding" 14359270 14373894 "ensembl"
"ENSRNOG00000005931" "Cpq" "protein_coding" 71709157 72167417 "ensembl"
"ENSRNOG00000038619" "AABR07018155.1" "pseudogene" 43543227 43543756 "ensembl"
"ENSRNOG00000053991" "P3h1" "protein_coding" 138279506 138294262 "ensembl"
"ENSRNOG00000023023" "Trpt1" "protein_coding" 222250995 222255994 "ensembl"
"ENSRNOG00000057202" "AABR07048303.3" "snoRNA" 71444152 71444283 "ensembl"
"ENSRNOG00000013892" "Cby1" "protein_coding" 120891940 120897687 "ensembl"
"ENSRNOG00000043419" "Hist3h2ba" "protein_coding" 45289741 45290370 "ensembl"
"ENSRNOG00000060457" "AABR07061310.1" "snoRNA" 115681828 115681956 "ensembl"
"ENSRNOG00000027263" "Tmem267" "protein_coding" 52358097 52366667 "ensembl"
"ENSRNOG00000008195" "Ywhaz" "protein_coding" 75574967 75597276 "ensembl"
"ENSRNOG00000036588" "AC121209.1" "protein_coding" 264705994 264706476 "ensembl"
"ENSRNOG00000052952" "AABR07031963.1" "protein_coding" 40853988 40873685 "ensembl"
"ENSRNOG00000000395" "Kifbp" "protein_coding" 32191734 32211453 "ensembl"
"ENSRNOG00000053882" "LOC108352742" "lincRNA" 36969898 36973285 "ensembl"
"ENSRNOG00000002881" "Ddr2" "protein_coding" 88317145 88436789 "ensembl"
"ENSRNOG00000034246" "Rps27a" "protein_coding" 138628482 138629026 "ensembl"
"ENSRNOG00000043026" "AC128207.2" "protein_coding" 2961442 2961873 "ensembl"
"ENSRNOG00000054089" "AABR07061807.2" "lincRNA" 146300428 146307017 "ensembl"
"ENSRNOG00000004763" "Sirpa" "protein_coding" 122114108 122152477 "ensembl"
"ENSRNOG00000045843" "Rusc2" "protein_coding" 58855773 58882096 "ensembl"
"ENSRNOG00000049929" "AABR07030494.1" "protein_coding" 90569201 90569575 "ensembl"
"ENSRNOG00000003864" "Gipc1" "protein_coding" 24786628 24798233 "ensembl"
"ENSRNOG00000056376" "Dusp22" "protein_coding" 34986591 35037076 "ensembl"
"ENSRNOG00000002117" "Barhl2" "protein_coding" 4362717 4367605 "ensembl"
"ENSRNOG00000053946" "AC120807.1" "lincRNA" 102086983 102091495 "ensembl"
"ENSRNOG00000061628" "AABR07043645.1" "snoRNA" 33861418 33861544 "ensembl"
"ENSRNOG00000053174" "AABR07050482.1" "lincRNA" 166799657 166803373 "ensembl"
"ENSRNOG00000004917" "Rasal2" "protein_coding" 74771522 75059326 "ensembl"
"ENSRNOG00000033983" "Sohlh1" "protein_coding" 3291084 3295101 "ensembl"
"ENSRNOG00000055864" "AABR07004241.2" "lincRNA" 132497813 132503537 "ensembl"
"ENSRNOG00000054228" "U6" "snRNA" 83658998 83659101 "ensembl"
"ENSRNOG00000007031" "Trim9" "protein_coding" 92660505 92760018 "ensembl"
"ENSRNOG00000061313" "AABR07019443.1" "lincRNA" 105986811 105989123 "ensembl"
"ENSRNOG00000022313" "Klk9" "protein_coding" 99729704 99733996 "ensembl"
"ENSRNOG00000031081" "Stat2" "protein_coding" 2691369 2707741 "ensembl"
"ENSRNOG00000054771" "SNORD116" "snoRNA" 195008920 195009009 "ensembl"
"ENSRNOG00000026821" "Arhgap42" "protein_coding" 7213822 7426611 "ensembl"
"ENSRNOG00000055823" "AABR07033666.1" "lincRNA" 34310191 34313728 "ensembl"
"ENSRNOG00000031974" "Pcdh10" "protein_coding" 136993208 137014492 "ensembl"
"ENSRNOG00000025273" "AABR07068728.1" "protein_coding" 116652530 116981172 "ensembl"
"ENSRNOG00000054111" "AABR07066829.1" "lincRNA" 18206803 18210136 "ensembl"
"ENSRNOG00000049509" "Olr614" "protein_coding" 76367959 76368909 "ensembl"
"ENSRNOG00000059098" "AABR07065531.23" "snoRNA" 133787033 133787117 "ensembl"
"ENSRNOG00000009075" "Trim13" "protein_coding" 41927241 41935718 "ensembl"
"ENSRNOG00000019418" "Lrrc4b" "protein_coding" 100447998 100468868 "ensembl"
"ENSRNOG00000007000" "Grhl2" "protein_coding" 76059386 76197856 "ensembl"
"ENSRNOG00000046393" "Fau" "protein_coding" 86921721 86922122 "ensembl"
"ENSRNOG00000004035" "Krr1" "protein_coding" 54756043 54767471 "ensembl"
"ENSRNOG00000054878" "AABR07022202.1" "lincRNA" 112760415 112761465 "ensembl"
"ENSRNOG00000055263" "U6" "snRNA" 76953994 76954100 "ensembl"
"ENSRNOG00000055175" "AABR07043075.1" "lincRNA" 19229539 19236569 "ensembl"
"ENSRNOG00000032569" "Lingo3" "protein_coding" 11737293 11746703 "ensembl"
"ENSRNOG00000058502" "AABR07009669.1" "snoRNA" 107628920 107629031 "ensembl"
"ENSRNOG00000052893" "AABR07058935.1" "lincRNA" 144659524 144677413 "ensembl"
"ENSRNOG00000058144" "AABR07041778.4" "lincRNA" 139484184 139486524 "ensembl"
"ENSRNOG00000003772" "Csrp2" "protein_coding" 53630621 53649310 "ensembl"
"ENSRNOG00000014766" "Galt" "protein_coding" 58144705 58147929 "ensembl"
"ENSRNOG00000014096" "Nr3c1" "protein_coding" 31728373 31749647 "ensembl"
"ENSRNOG00000061353" "7SK" "misc_RNA" 21823121 21823212 "ensembl"
"ENSRNOG00000005628" "Hoxa1" "protein_coding" 82125406 82127066 "ensembl"
"ENSRNOG00000019618" "Hdac3" "protein_coding" 31073058 31094303 "ensembl"
"ENSRNOG00000055617" "AABR07044171.2" "lincRNA" 61312243 61316961 "ensembl"
"ENSRNOG00000042771" "Apol3" "protein_coding" 118685022 118694015 "ensembl"
"ENSRNOG00000006569" "Itgb8" "protein_coding" 147094097 147172813 "ensembl"
"ENSRNOG00000003680" "Gabrb2" "protein_coding" 27973681 28187565 "ensembl"
"ENSRNOG00000057621" "AABR07032643.1" "snoRNA" 75933257 75933351 "ensembl"
"ENSRNOG00000036807" "RGD1562433" "protein_coding" 169319200 169321075 "ensembl"
"ENSRNOG00000045828" "Olr802" "protein_coding" 71880711 71881652 "ensembl"
"ENSRNOG00000019340" "Cep250" "protein_coding" 151508361 151544674 "ensembl"
"ENSRNOG00000004826" "Sos2" "protein_coding" 91883425 92007957 "ensembl"
"ENSRNOG00000052727" "7SK" "misc_RNA" 2660452 2660742 "ensembl"
"ENSRNOG00000006281" "LOC108348320" "protein_coding" 82138683 82141385 "ensembl"
"ENSRNOG00000057514" "AABR07015080.1" "miRNA" 46654573 46654621 "ensembl"
"ENSRNOG00000020150" "Il18bp" "protein_coding" 167091522 167093560 "ensembl"
"ENSRNOG00000046649" "AABR07006049.1" "protein_coding" 215057617 215423099 "ensembl"
"ENSRNOG00000056167" "U1" "snRNA" 108633091 108633253 "ensembl"
"ENSRNOG00000054605" "Unkl" "protein_coding" 14547172 14590762 "ensembl"
"ENSRNOG00000054611" "AABR07019055.1" "snoRNA" 85776073 85776201 "ensembl"
"ENSRNOG00000029852" "Vom1r41" "protein_coding" 67742949 67743932 "ensembl"
"ENSRNOG00000008816" "Gpnmb" "protein_coding" 78694447 78715683 "ensembl"
"ENSRNOG00000028382" "Rfxapl1" "protein_coding" 144213403 144217600 "ensembl"
"ENSRNOG00000052612" "AABR07061087.1" "protein_coding" 103761576 103761881 "ensembl"
"ENSRNOG00000052731" "AABR07059243.1" "protein_coding" 10992342 10995792 "ensembl"
"ENSRNOG00000035046" "5S_rRNA" "rRNA" 226610410 226610527 "ensembl"
"ENSRNOG00000014835" "Il1rl1" "protein_coding" 47134034 47182170 "ensembl"
"ENSRNOG00000036831" "Gtsf1" "protein_coding" 145029699 145048283 "ensembl"
"ENSRNOG00000051711" "Kpna1" "protein_coding" 67652577 67703025 "ensembl"
"ENSRNOG00000030018" "Gzmc" "protein_coding" 35392162 35394792 "ensembl"
"ENSRNOG00000054225" "U6" "snRNA" 123643719 123643825 "ensembl"
"ENSRNOG00000053811" "Arg2" "protein_coding" 102311116 102338520 "ensembl"
"ENSRNOG00000021910" "Nkx2-6" "protein_coding" 51034620 51038704 "ensembl"
"ENSRNOG00000009599" "Rwdd2a" "protein_coding" 94243372 94246496 "ensembl"
"ENSRNOG00000012393" "S100a13" "protein_coding" 189906022 189912516 "ensembl"
"ENSRNOG00000018202" "Spata31a5" "protein_coding" 2417635 2423572 "ensembl"
"ENSRNOG00000014168" "Xylb" "protein_coding" 128044084 128076946 "ensembl"
"ENSRNOG00000040448" "Mir146b" "miRNA" 266089488 266089575 "ensembl"
"ENSRNOG00000025350" "Ppp1r13l" "protein_coding" 80279706 80290408 "ensembl"
"ENSRNOG00000015458" "Hemk1" "protein_coding" 116082005 116092763 "ensembl"
"ENSRNOG00000035632" "Mirlet7a1" "miRNA" 16417855 16417954 "ensembl"
"ENSRNOG00000058903" "AABR07015112.1" "pseudogene" 47265107 47269083 "ensembl"
"ENSRNOG00000033395" "Olr473" "protein_coding" 73366155 73367087 "ensembl"
"ENSRNOG00000060144" "Ankle2" "protein_coding" 52475863 52507126 "ensembl"
"ENSRNOG00000054033" "Adap1" "protein_coding" 17416327 17468212 "ensembl"
"ENSRNOG00000056176" "AABR07019572.2" "pseudogene" 109345974 109346283 "ensembl"
"ENSRNOG00000027196" "Smim23" "protein_coding" 17717599 17721233 "ensembl"
"ENSRNOG00000002773" "Rgs4" "protein_coding" 88054817 88061108 "ensembl"
"ENSRNOG00000036373" "AABR07016556.1" "miRNA" 103358243 103358338 "ensembl"
"ENSRNOG00000050413" "Samd15" "protein_coding" 111223026 111241303 "ensembl"
"ENSRNOG00000059717" "AABR07031158.2" "lincRNA" 2188996 2195856 "ensembl"
"ENSRNOG00000019970" "mrpl11" "protein_coding" 220243473 220246346 "ensembl"
"ENSRNOG00000004247" "Nhp2" "protein_coding" 34975708 34979082 "ensembl"
"ENSRNOG00000048501" "AABR07028908.1" "miRNA" 56222 56287 "ensembl"
"ENSRNOG00000026613" "Aadacl3" "protein_coding" 162323373 162331598 "ensembl"
"ENSRNOG00000059563" "AABR07030796.1" "lincRNA" 104901535 104902818 "ensembl"
"ENSRNOG00000026432" "Syt7" "protein_coding" 226435979 226493377 "ensembl"
"ENSRNOG00000043978" "5S_rRNA" "rRNA" 32756074 32756178 "ensembl"
"ENSRNOG00000003114" "B4galt4" "protein_coding" 64557977 64583994 "ensembl"
"ENSRNOG00000056134" "AABR07033757.1" "lincRNA" 38881477 38888955 "ensembl"
"ENSRNOG00000005357" "Ctc1" "protein_coding" 55596148 55616889 "ensembl"
"ENSRNOG00000047645" "AABR07047833.1" "miRNA" 49737350 49737450 "ensembl"
"ENSRNOG00000058421" "AABR07034745.1" "lincRNA" 86504032 86506006 "ensembl"
"ENSRNOG00000047398" "LOC100912067" "protein_coding" 41911004 41911957 "ensembl"
"ENSRNOG00000060638" "AC134056.1" "snoRNA" 121202456 121202590 "ensembl"
"ENSRNOG00000032428" "Olr1006" "protein_coding" 6096690 6097640 "ensembl"
"ENSRNOG00000049161" "LOC100360690" "protein_coding" 252154616 252167752 "ensembl"
"ENSRNOG00000061655" "AABR07022055.1" "lincRNA" 104660574 104673489 "ensembl"
"ENSRNOG00000045781" "Mir3561" "miRNA" 26427720 26427828 "ensembl"
"ENSRNOG00000060830" "AABR07065406.2" "lincRNA" 125904281 125911149 "ensembl"
"ENSRNOG00000054747" "Mir509" "miRNA" 155317206 155317290 "ensembl"
"ENSRNOG00000029522" "Defa6" "protein_coding" 75400781 75401655 "ensembl"
"ENSRNOG00000002975" "AABR07037243.1" "protein_coding" 16946207 16946815 "ensembl"
"ENSRNOG00000036728" "Cd300lb" "protein_coding" 103467725 103481153 "ensembl"
"ENSRNOG00000061346" "B3glct" "protein_coding" 6403940 6473321 "ensembl"
"ENSRNOG00000040406" "Mir496" "miRNA" 133889283 133889361 "ensembl"
"ENSRNOG00000020694" "Icam5" "protein_coding" 22050222 22057209 "ensembl"
"ENSRNOG00000058515" "AABR07054460.4" "lincRNA" 154850173 154851168 "ensembl"
"ENSRNOG00000047739" "Npff" "protein_coding" 144127085 144127873 "ensembl"
"ENSRNOG00000052611" "AC127784.1" "snoRNA" 121302236 121302299 "ensembl"
"ENSRNOG00000010697" "Hadh" "protein_coding" 236353445 236395067 "ensembl"
"ENSRNOG00000047364" "LOC687508" "protein_coding" 88620317 88621868 "ensembl"
"ENSRNOG00000053108" "AABR07036532.1" "lincRNA" 46964779 46971866 "ensembl"
